location,name,url,mpurl,ccurl,rcdburl,w3url,weurl,hourl,date
Fahrt,Tag 1 - 15.06.2025,,,,,,,https://www.indouwepeel.nl/,2025-06-15
Toverland,Tag 2 - 16.06.2025,https://www.toverland.com/de,https://www.toverland.com/de/parkplan,https://coaster-count.com/catalogue/europe/netherlands/toverland-372/coasters,https://rcdb.com/4900.htm,https://ch.wetter.com/wetter_aktuell/wettervorhersage/3_tagesvorhersage/niederlande/evertsoord/NL0LI0040.html,https://ch.wetter.com/regenradar/niederlande/evertsoord/NL0LI0040.html,https://slapendehollander.nl/,2025-06-16
Efteling,Tag 3 - 17.06.2025,https://www.efteling.com/de,https://www.efteling.com/de/park/parkplan,https://coaster-count.com/catalogue/europe/netherlands/efteling-311/coasters,https://rcdb.com/4839.htm,https://ch.wetter.com/wetter_aktuell/wettervorhersage/3_tagesvorhersage/niederlande/kaatsheuvel/NL0NB0110.html,https://ch.wetter.com/regenradar/niederlande/kaatsheuvel/NL0NB0110.html,https://www.hotel-lascala.de/,2025-06-17
Movie Park,Tag 4 - 18.06.2025,https://www.movieparkgermany.de/,https://www.movieparkgermany.de/entdecke-den-park/parkplan,https://coaster-count.com/catalogue/europe/germany/movie-park-germany-341/coasters,https://rcdb.com/4869.htm,https://ch.wetter.com/wetter_aktuell/wettervorhersage/3_tagesvorhersage/deutschland/bottrop/feldhausen/DE0001391010.html,https://ch.wetter.com/regenradar/deutschland/bottrop/feldhausen/DE0001391010.html,https://palast-hotel.w.viato.net/,2025-06-18
Nix,Tag 5 - 19.06.2025,,,,,https://ch.wetter.com/wetter_aktuell/wettervorhersage/3_tagesvorhersage/deutschland/koeln/koeln-deutz/DE0005156036.html,https://ch.wetter.com/regenradar/deutschland/koeln/koeln-deutz/DE0005156036.html?onboarding-map-zoom=false,https://palast-hotel.w.viato.net/,2025-06-19
Nix,Tag 16 - 30.06.2025,,,,,https://ch.wetter.com/wetter_aktuell/wettervorhersage/3_tagesvorhersage/deutschland/koeln/koeln-deutz/DE0005156036.html,https://ch.wetter.com/regenradar/deutschland/koeln/koeln-deutz/DE0005156036.html?onboarding-map-zoom=false,https://www.phantasialand.de/de/rookburgh/hotel-charles-lindbergh/,2025-06-30
Phantasialand,Tag 17 - 01.07.2025,https://www.phantasialand.de/de/,https://www.phantasialand.de/de/themenpark/park-entdecken/,https://coaster-count.com/catalogue/europe/germany/phantasialand-344/coasters,https://rcdb.com/4872.htm,https://ch.wetter.com/wetter_aktuell/wettervorhersage/3_tagesvorhersage/deutschland/bruehl/DE0001408.html,https://ch.wetter.com/regenradar/deutschland/bruehl/DE0001408.html?onboarding-map-zoom=false,https://www.phantasialand.de/de/rookburgh/hotel-charles-lindbergh/,2025-07-01
Phantasialand,Tag 18 - 02.07.2025,https://www.phantasialand.de/de/,https://www.phantasialand.de/de/themenpark/park-entdecken/,https://coaster-count.com/catalogue/europe/germany/phantasialand-344/coasters,https://rcdb.com/4872.htm,https://ch.wetter.com/wetter_aktuell/wettervorhersage/3_tagesvorhersage/deutschland/bruehl/DE0001408.html,https://ch.wetter.com/regenradar/deutschland/bruehl/DE0001408.html?onboarding-map-zoom=false,https://www.zinsersflaemmle.de/appartements/,2025-07-02
Tripsdrill,Tag 19 - 03.07.2025,https://tripsdrill.de/de,https://tripsdrill.de/fileadmin/Erlebnispark/Parkplan_Erlebnispark/2024_Website_Parkplan_mit_Legende.jpg,https://coaster-count.com/catalogue/europe/germany/erlebnispark-tripsdrill-358/coasters,https://rcdb.com/4886.htm,https://ch.wetter.com/wetter_aktuell/wettervorhersage/3_tagesvorhersage/deutschland/cleebronn/DE0001788.html,https://ch.wetter.com/regenradar/deutschland/cleebronn/DE0001788.html?onboarding-map-zoom=false,https://lhhotel.de/,2025-07-03
Legoland,Tag 20 - 04.07.2025,https://www.legoland.de/,https://www.legoland.de/media/kuhlxy4u/legoland-parkplan-2025.pdf?,https://coaster-count.com/catalogue/europe/germany/legoland-deutschland-531/coasters,https://rcdb.com/5059.htm,https://ch.wetter.com/wetter_aktuell/wettervorhersage/3_tagesvorhersage/deutschland/guenzburg/deffingen/DE0003144001.html,https://ch.wetter.com/regenradar/deutschland/guenzburg/deffingen/DE0003144001.html?onboarding-map-zoom=false,https://lhhotel.de/,2025-07-04
Skylinepark,Tag 20 - 04.07.2025,https://www.skylinepark.de/,https://coaster-count.com/catalogue/europe/germany/skyline-park-357/coasters,https://coaster-count.com/catalogue/europe/germany/skyline-park-357/coasters,https://rcdb.com/4885.htm,https://ch.wetter.com/wetter_aktuell/wettervorhersage/3_tagesvorhersage/deutschland/bad-woerishofen/kirchdorf/DE0000710005.html,https://ch.wetter.com/regenradar/deutschland/bad-woerishofen/kirchdorf/DE0000710005.html?onboarding-map-zoom=false,https://das-max.de/,2025-07-04
